Product,Issue,Company
Credit card,Other,Discover
Credit card,Identity theft / Fraud / Embezzlement,Bank of America
Credit card,Billing disputes,Wells Fargo & Company
Credit card,Advertising and marketing,Citibank
Credit card,Billing statement,Citibank
Credit card,Other fee,JPMorgan Chase & Co.
Credit card,Billing disputes,Citibank
Credit card,Balance transfer,Capital One
Credit card,Unsolicited issuance of credit card,JPMorgan Chase & Co.
Credit card,Transaction issue,Capital One
Credit card,Identity theft / Fraud / Embezzlement,Citibank
Credit card,Closing/Cancelling account,Discover
Credit card,Advertising and marketing,Barclays PLC
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Payoff process,Bank of America
Credit card,Delinquent account,Capital One
Credit card,Rewards,Amex
Credit card,Identity theft / Fraud / Embezzlement,Citibank
Credit card,Credit determination,JPMorgan Chase & Co.
Credit card,Closing/Cancelling account,Synchrony Financial
Credit card,Transaction issue,Amex
Credit card,Delinquent account,Capital One
Credit card,Late fee,Synchrony Financial
Credit card,Closing/Cancelling account,Pentagon FCU
Credit card,Billing disputes,Citibank
Credit card,APR or interest rate,Discover
Credit card,Unsolicited issuance of credit card,Bank of America
Credit card,Identity theft / Fraud / Embezzlement,Amex
Credit card,Other,Synchrony Financial
Credit card,Other fee,HSBC North America Holdings Inc.
Credit card,Rewards,Discover
Credit card,Closing/Cancelling account,JPMorgan Chase & Co.
Credit card,APR or interest rate,JPMorgan Chase & Co.
Credit card,APR or interest rate,Bank of America
Credit card,Closing/Cancelling account,Bank of America
Credit card,Arbitration,Stillman Law Office
Credit card,Payoff process,Citibank
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Other,State Farm Bank
Credit card,Transaction issue,Amex
Credit card,Identity theft / Fraud / Embezzlement,Synchrony Financial
Credit card,Billing disputes,Citibank
Credit card,Late fee,Capital One
Credit card,Other fee,Capital One
Credit card,Other,"TransUnion Intermediate Holdings, Inc."
Credit card,Identity theft / Fraud / Embezzlement,Amex
Credit card,Credit determination,Capital One
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Other,Citibank
Credit card,Identity theft / Fraud / Embezzlement,Capital One
Credit card,Billing statement,Barclays PLC
Credit card,Closing/Cancelling account,Discover
Credit card,Other fee,"Continental Finance Company, LLC"
Credit card,Identity theft / Fraud / Embezzlement,Bank of America
Credit card,Billing disputes,Synchrony Financial
Credit card,Billing disputes,Citibank
Credit card,Delinquent account,Synchrony Financial
Credit card,Overlimit fee,U.S. Bancorp
Credit card,Customer service / Customer relations,Citibank
Credit card,Billing disputes,Fifth Third Financial Corporation
Credit card,Billing disputes,Capital One
Credit card,Customer service / Customer relations,Wells Fargo & Company
Credit card,Billing disputes,JPMorgan Chase & Co.
Credit card,Payoff process,Citibank
Credit card,Privacy,Capital One
Credit card,Delinquent account,Citibank
Credit card,Transaction issue,JPMorgan Chase & Co.
Credit card,Other,Citibank
Credit card,Other,Capital One
Credit card,Closing/Cancelling account,Bank of America
Credit card,Closing/Cancelling account,Discover
Credit card,Customer service / Customer relations,Capital One
Credit card,Billing statement,HSBC North America Holdings Inc.
Credit card,Closing/Cancelling account,Discover
Credit card,Other,Citibank
Credit card,Billing disputes,Citibank
Credit card,Bankruptcy,Citibank
Credit card,Unsolicited issuance of credit card,Discover
Credit card,Rewards,Bank of America
Credit card,Billing disputes,U.S. Bancorp
Credit card,Other fee,JPMorgan Chase & Co.
Credit card,Other,Amex
Credit card,Billing disputes,Citibank
Credit card,Other,JPMorgan Chase & Co.
Credit card,Credit determination,"SunTrust Banks, Inc."
Credit card,Customer service / Customer relations,Citibank
Credit card,Credit card protection / Debt protection,Amex
Credit card,Customer service / Customer relations,Sterling Jewelers Inc.
Credit card,Advertising and marketing,Capital One
